hhid,province,Weight_Chickens,num_Chickens,own_all_Chickens,own_off_holding_Chickens,births_Chickens,bought_Chickens,purchase_price_Chickens,received_Chickens,deaths_Chickens,sold_Chickens,sale_ppkg_Chickens,stolen_Chickens,gift_Chickens,slghtr_Chickens,meat_stock_Chickens,meat_stock_purpose_Chickens,collected_eggs_Chickens,months_eggs_collected_Chickens,days_month_eggs_collect_Chickens,daily_avg_egg_prod_Chickens,egg_price_Chickens,vax_Chickens,cur_trt_Chickens,trt_int_parasite_Chickens,trt_ext_parasite_Chickens,purchase_spending_Chickens,breeding_Chickens,breeding_cost_Chickens,bought_received_Chickens,growth_Chickens,loss_Chickens,net_growth_Chickens,num_start_Chickens,growth_pct_Chickens,loss_pct_Chickens,net_growth_pct_Chickens,peak_num_Chickens,mortality_rt_Chickens,sale_rate_Chickens,vax_pct_Chickens,num_vax_Chickens,trt_vax_spending_Chickens,cur_trt_spending_Chickens,eggs_total_prod_Chickens,eggs_prod_annualized_Chickens,eggs_kept_pct_Chickens,eggs_sold_pct_Chickens,eggs_lost_pct_Chickens,eggs_kept_Chickens,eggs_lost_Chickens,eggs_sold_Chickens,egg_price_prov_med_Chickens,egg_price_obs_Chickens,egg_price_impt_Chickens,egg_price_natl_med_Chickens,eggs_value_lost_Chickens,eggs_value_cultiv_Chickens,eggs_value_consump_Chickens,eggs_revenue_Chickens,ppkg_prov_med_Chickens,sale_ppkg_obs_Chickens,sale_ppkg_impt_Chickens,ppkg_natl_med_Chickens,sale_price_Chickens,sale_revenue_Chickens,slghtr_ppkg_Chickens,slghtr_unit_value_Chickens,slghtr_value_Chickens,prod_value_Chickens,Weight_Ducks,num_Ducks,own_all_Ducks,own_off_holding_Ducks,births_Ducks,bought_Ducks,purchase_price_Ducks,received_Ducks,deaths_Ducks,sold_Ducks,sale_ppkg_Ducks,stolen_Ducks,gift_Ducks,slghtr_Ducks,meat_stock_Ducks,meat_stock_purpose_Ducks,collected_eggs_Ducks,months_eggs_collected_Ducks,days_month_eggs_collect_Ducks,daily_avg_egg_prod_Ducks,egg_price_Ducks,vax_Ducks,cur_trt_Ducks,trt_int_parasite_Ducks,trt_ext_parasite_Ducks,purchase_spending_Ducks,breeding_Ducks,breeding_cost_Ducks,bought_received_Ducks,growth_Ducks,loss_Ducks,net_growth_Ducks,num_start_Ducks,growth_pct_Ducks,loss_pct_Ducks,net_growth_pct_Ducks,peak_num_Ducks,mortality_rt_Ducks,sale_rate_Ducks,vax_pct_Ducks,num_vax_Ducks,trt_vax_spending_Ducks,cur_trt_spending_Ducks,eggs_total_prod_Ducks,eggs_prod_annualized_Ducks,eggs_kept_pct_Ducks,eggs_sold_pct_Ducks,eggs_lost_pct_Ducks,eggs_kept_Ducks,eggs_lost_Ducks,eggs_sold_Ducks,egg_price_prov_med_Ducks,egg_price_obs_Ducks,egg_price_impt_Ducks,egg_price_natl_med_Ducks,eggs_value_lost_Ducks,eggs_value_cultiv_Ducks,eggs_value_consump_Ducks,eggs_revenue_Ducks,ppkg_prov_med_Ducks,sale_ppkg_obs_Ducks,sale_ppkg_impt_Ducks,ppkg_natl_med_Ducks,sale_price_Ducks,sale_revenue_Ducks,slghtr_ppkg_Ducks,slghtr_unit_value_Ducks,slghtr_value_Ducks,prod_value_Ducks,raised_Chickens,raised_Ducks,zone
id_042201,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Tonle Sap
id_042235,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain
id_042269,7,176.435308726834,8,1,0,10,0,,0,4,0,,0,0,0,0,,0,,,,,0,,,,,,,0,10,4,6,2,5,2,3,12,.33333334,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042272,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042275,1,210.67099476243,10,1,0,9,0,,0,15,0,,0,0,7,0,,0,,,,,0,,,,,,,0,9,22,-13,23,.39130434,.95652175,-.56521738,32,.46875,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,19500,136500,136500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042298,7,217.746770355298,50,1,0,30,0,,0,0,0,,0,0,5,0,,0,,,,,0,,,,,,,0,30,5,25,25,1.2,.2,1,55,0,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,22100,110500,110500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042304,7,76.4726951464731,10,1,0,20,0,,0,30,0,,0,0,10,0,,0,,,,,0,,,,,,,0,20,40,-20,30,.66666669,1.3333334,-.66666669,50,.60000002,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,22100,221000,221000,76.4726951464731,4,1,0,0,0,,2,0,0,,0,0,0,0,,0,,,,,0,,,,,,,2,2,0,2,2,1,0,1,4,0,0,,,,,,,,,,,,,500,,,500,,,,,10000,,10000,12000,,,10000,,,0,1,1,Coastal
id_042310,7,118.130505532386,10,1,0,10,0,,0,5,0,,0,0,6,0,,0,,,,,0,,,,,,,0,10,11,-1,11,.90909094,1,-.090909094,21,.23809524,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,22100,132600,132600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042313,14,123.388304142659,50,1,1,10,0,,0,0,0,,0,0,8,0,,0,,,,,0,,,,,,,0,10,8,2,48,.20833333,.16666667,.041666668,58,0,0,,,,,,,,,,,,,500,,,600,,,,,16000,,16000,16000,,,16000,24000,192000,192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042321,1,31.7972667174328,10,1,0,0,0,,0,0,5,13500,0,0,0,0,,0,,,,,0,,,,,,,0,0,5,-5,15,0,.33333334,-.33333334,15,0,.33333334,,,,,,,,,,,,,,,,600,,,,,13000,13500,,16000,31050,155250,13500,,,155250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042330,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042336,24,36.8922509782713,6,1,0,0,0,,0,8,4,16000,2,0,3,0,,0,,,,,0,,,,,,,0,0,17,-17,23,0,.73913044,-.73913044,23,.34782609,.17391305,,,,,,,,,,,,,,,,600,,,,,15000,16000,,16000,36800,147200,16000,24000,72000,219200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042349,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042366,14,54.0975469574944,20,1,0,10,0,,0,0,0,,0,0,12,0,,0,,,,,0,,,,,,,0,10,12,-2,22,.45454547,.54545456,-.090909094,32,0,0,,,,,,,,,,,,,500,,,600,,,,,16000,,16000,16000,,,16000,28800,345600,345600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042371,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Tonle Sap
id_042374,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonle Sap
id_042377,7,118.130505532386,10,1,0,5,0,,0,0,0,,0,0,4,0,,0,,,,,0,,,,,,,0,5,4,1,9,.55555558,.44444445,.11111111,14,0,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,20400,81600,81600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042384,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Plain
id_042400,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain
id_042409,10,54.2470567430235,20,1,0,30,0,,0,5,0,,0,0,5,0,,0,,,,,0,,,,,,,0,30,10,20,1,30,10,20,31,.16129032,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,17000,85000,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042412,1,137.468355679246,10,1,0,0,0,,0,10,10,13500,0,0,0,0,,0,,,,,0,,,,,,,0,0,20,-20,30,0,.66666669,-.66666669,30,.33333334,.33333334,,,,,,,,,,,,,,,,600,,,,,13000,13500,,16000,31050,310500,13500,,,310500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042424,18,53.61935588266,10,1,0,40,0,,0,30,10,16000,0,0,10,0,,0,,,,,0,0,0,0,,,,0,40,50,-10,20,2,2.5,-.5,60,.5,.16666667,,,,,,,,,,,,,,,,600,,,,,20000,,,16000,36800,368000,16000,32000,320000,688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042434,16,131.657734707565,13,1,0,7,0,,0,4,0,,0,0,2,0,,0,,,,,0,,,,,,,0,7,6,1,12,.58333331,.5,.083333336,19,.21052632,0,,,,,,,,,,,,,1000,,,600,,,,,18000,,18000,16000,,,18000,18000,36000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042452,5,106.70474752929,15,1,0,8,0,,0,0,0,,0,0,3,0,,0,,,,,0,,,,,,,0,8,3,5,10,.80000001,.30000001,.5,18,0,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,25500,76500,76500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042456,17,72.74838362023741,5,1,0,15,0,,0,10,0,,0,0,0,0,,0,,,,,0,,,,,,,0,15,10,5,1,15,10,5,16,.625,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042457,21,60.069264491697,15,1,0,10,0,,0,0,0,,0,0,0,0,,0,,,,,0,,,,,,,0,10,0,10,5,2,0,2,15,0,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042460,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042466,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonle Sap
id_042478,17,88.0758732509164,6,1,0,15,0,,0,0,0,,0,0,8,0,,0,,,,,0,,,,,,,0,15,8,7,1,15,8,7,16,0,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,15600,124800,124800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042480,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coastal
id_042491,1,249.23997156668,2,1,0,30,0,,0,30,0,,0,0,0,0,,0,,,,,0,,,,,,,0,30,30,0,2,15,15,0,32,.9375,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042495,5,106.70474752929,50,1,0,25,0,,0,12,0,,0,0,15,0,,0,,,,,0,,,,,,,0,25,27,-2,52,.48076922,.51923078,-.03846154,77,.15584415,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,25500,382500,382500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042499,7,32.4896187447175,1,1,0,0,0,,0,0,0,,0,0,0,0,,0,,,,,0,,,,,,,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,,,0,32.4896187447175,40,1,0,0,0,,0,0,0,,0,6,0,0,,0,,,,,0,,,,,,,0,0,6,-6,46,0,.13043478,-.13043478,46,0,0,,,,,,,,,,,,,500,,,500,,,,,10000,,10000,12000,,,10000,,,0,1,1,Coastal
id_042507,10,91.2275064525536,25,1,0,8,0,,0,15,0,,0,0,5,0,,0,,,,,0,,,,,,,0,8,20,-12,37,.21621622,.54054052,-.32432431,45,.33333334,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,20400,102000,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042511,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonle Sap
id_042512,21,127.867834185358,5,1,0,6,0,,0,4,0,,0,2,4,0,,0,,,,,0,,,,,,,0,6,10,-4,9,.66666669,1.1111112,-.44444445,15,.26666668,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,25500,102000,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042541,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Plain
id_042549,21,182.099001453135,15,1,0,8,0,,0,20,0,,0,0,10,0,,0,,,,,0,,,,,,,0,8,30,-22,37,.21621622,.8108108,-.5945946,45,.44444445,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,27200,272000,272000,182.099001453135,10,1,0,6,0,,0,20,0,,0,0,0,0,,0,,,,,0,,,,,,,0,6,20,-14,24,.25,.83333331,-.58333331,30,.66666669,0,,,,,,,,,,,,,500,,,500,,,,,10000,,10000,12000,,,10000,,,0,1,1,Plain
id_042551,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042556,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042558,21,60.8603083035073,15,1,0,12,0,,0,20,0,,0,0,10,0,,0,,,,,0,,,,,,,0,12,30,-18,33,.36363637,.90909094,-.54545456,45,.44444445,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,27200,272000,272000,60.8603083035073,10,1,0,0,10,5000,0,0,0,,0,0,0,0,,0,,,,,0,,,,50000,,,10,10,0,10,1,10,0,10,11,0,0,,,,,,,,,,,,,500,,,500,,,,,10000,,10000,12000,,,10000,,,0,1,1,Plain
id_042563,6,193.934446303178,50,1,0,30,0,,0,10,8,13000,0,0,2,0,,0,,,,,1,,,,,,,0,30,20,10,40,.75,.5,.25,70,.14285715,.11428571,,,,,,,,,,,,,,,,600,,,,,14000,13000,,16000,29900,239200,13000,19500,39000,278200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042568,21,53.0022921985558,28,1,0,8,0,,0,0,0,,0,0,15,0,,0,,,,,0,,,,,,,0,8,15,-7,35,.22857143,.42857143,-.2,43,0,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,28900,433500,433500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042576,2,147.889681805608,80,1,0,100,0,,0,10,10,14000,0,0,0,0,,0,,,,,0,,,,,,,0,100,20,80,1,100,20,80,101,.099009901,.099009901,,,,,,,,,,,,,800,,,600,,,,,14000,14000,,16000,32200,322000,14000,,,322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042586,20,178.911118556745,15,1,0,10,0,,0,5,0,,0,0,4,0,,0,,,,,0,,,,,,,0,10,9,1,14,.71428573,.64285713,.071428575,24,.20833333,0,,,,,,,,,,,,,,,,600,,,,,16000,,16000,16000,,,16000,24000,96000,96000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Plain
id_042590,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonle Sap
id_042605,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Plain
id_042613,21,55.4495990759897,14,1,0,6,0,,0,4,0,,3,0,0,0,,0,,,,,0,,,,,,,0,6,7,-1,15,.40000001,.46666667,-.06666667,21,.19047619,0,,,,,,,,,,,,,500,,,600,,,,,17000,,17000,16000,,,17000,,,0,55.4495990759897,7,1,0,24,0,,0,24,0,,0,0,0,0,,1,12,30,3,,0,,,,,,,0,24,24,0,7,3.4285715,3.4285715,0,31,.77419353,0,,,,,1080,1095.75,1,0,0,1080,0,0,500,,500,500,,540000,540000,,10000,,10000,12000,,,10000,,,540000,1,1,Plain
id_042617,5,53.39793747972,60,1,0,20,0,,0,20,20,18000,0,0,20,0,,0,,,,,1,,,,,,,0,20,60,-40,100,.2,.60000002,-.40000001,120,.16666667,.16666667,,,,,,,,,,,,,,,,600,,,,,17000,18000,,16000,41400,828000,18000,27000,540000,1368000,53.39793747972,4,1,0,0,0,,0,0,0,,0,0,4,0,,0,,,,,0,,,,,,,0,0,4,-4,8,0,.5,-.5,8,0,0,,,,,,,,,,,,,500,,,500,,,,,15000,,15000,12000,,,15000,30000,120000,120000,1,1,Mountain
id_042623,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042664,7,125.415220040216,20,1,0,10,2,20000,0,0,0,,0,0,3,0,,0,,,,,0,,,,40000,,,2,12,3,9,11,1.0909091,.27272728,.81818181,23,0,0,,,,,,,,,,,,,,,,600,,,,,17000,,17000,16000,,,17000,27200,81600,81600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042665,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Tonle Sap
id_042674,18,28.1614264089601,20,1,0,15,0,,0,4,0,,0,0,2,0,,0,,,,,0,,,,,,,0,15,6,9,11,1.3636364,.54545456,.81818181,26,.15384616,0,,,,,,,,,,,,,,,,600,,,,,20000,,20000,16000,,,20000,26000,52000,52000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Coastal
id_042688,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042721,14,79.5735653179418,60,1,0,20,0,,0,0,0,,0,0,0,0,,0,,,,,0,,,,,,,0,20,0,20,40,.5,0,.5,60,0,0,,,,,,,,,,,,,500,,,600,,,,,16000,,16000,16000,,,16000,,,0,79.5735653179418,30,1,0,0,0,,0,0,0,,0,4,5,0,,1,12,31,10,,0,,,,,,,0,0,9,-9,39,0,.23076923,-.23076923,39,0,0,,,,,3720,3652.5,1,0,0,3720,0,0,500,,500,500,,1860000,1860000,,13000,,13000,12000,,,13000,26000,130000,1990000,1,1,Plain
id_042728,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Tonle Sap
id_042735,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Tonle Sap
id_042757,17,130.340587976373,5,1,0,12,0,,0,2,0,,0,0,4,0,,0,,,,,0,,,,,,,0,12,6,6,1,12,6,6,13,.15384616,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,13000,52000,52000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
id_042772,16,82.71601730035501,14,1,0,4,0,,0,0,0,,3,0,4,0,,1,5,18,3,,0,,,,,,,0,4,7,-3,17,.23529412,.41176471,-.17647059,21,0,0,,,,,270,1095.75,1,0,0,270,0,0,1000,,600,600,,270000,270000,,18000,,18000,16000,,,18000,27000,108000,378000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Mountain
id_042776,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain
id_042781,1,129.362804659755,3,1,0,0,0,,0,30,0,,0,0,0,0,,0,,,,,0,,,,,,,0,0,30,-30,33,0,.90909094,-.90909094,33,.90909094,0,,,,,,,,,,,,,,,,600,,,,,13000,,13000,16000,,,13000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Tonle Sap
